"Step","qwen1.5b-rl-sft-grpo-epoch_2 - avg_format_reward","qwen1.5b-rl-sft-grpo-epoch_2 - avg_format_reward__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - avg_format_reward__MAX"
"0","0.203","0.203","0.203"
"10","0.5468","0.5468","0.5468"
"20","0.7024","0.7024","0.7024"
"30","0.7876","0.7876","0.7876"
"40","0.834","0.834","0.834"
"50","0.8414","0.8414","0.8414"
"60","0.853","0.853","0.853"
"70","0.8646","0.8646","0.8646"
"80","0.8806","0.8806","0.8806"
"90","0.8756","0.8756","0.8756"
"10","0.8864","0.8864","0.8864"
"110","0.8882","0.8882","0.8882"
"120","0.888","0.888","0.888"
