"Step","qwen1.5b-rl-sft-grpo-epoch_2 - avg_reward","qwen1.5b-rl-sft-grpo-epoch_2 - avg_reward__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - avg_reward__MAX"
"0","0.0278","0.0278","0.0278"
"10","0.1198","0.1198","0.1198"
"20","0.1744","0.1744","0.1744"
"30","0.2184","0.2184","0.2184"
"40","0.2574","0.2574","0.2574"
"50","0.285","0.285","0.285"
"60","0.2982","0.2982","0.2982"
"70","0.3144","0.3144","0.3144"
"80","0.3292","0.3292","0.3292"
"90","0.3294","0.3294","0.3294"
"100","0.3416","0.3416","0.3416"
"110","0.3574","0.3574","0.3574"
"120","0.3458","0.3458","0.3458"
