"Step","qwen1.5b-rl-sft-grpo-epoch_2 - mean_token_counts","qwen1.5b-rl-sft-grpo-epoch_2 - mean_token_counts__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - mean_token_counts__MAX"
"0","371.17578125","371.17578125","371.17578125"
"2","344.484375","344.484375","344.484375"
"3","393.44921875","393.44921875","393.44921875"
"4","370.90625","370.90625","370.90625"
"5","382.74609375","382.74609375","382.74609375"
"6","332.5703125","332.5703125","332.5703125"
"7","317.9453125","317.9453125","317.9453125"
"8","391.2421875","391.2421875","391.2421875"
"9","309.30078125","309.30078125","309.30078125"
"10","328.9453125","328.9453125","328.9453125"
"11","347.796875","347.796875","347.796875"
"13","269.546875","269.546875","269.546875"
"14","215.8125","215.8125","215.8125"
"15","203.28515625","203.28515625","203.28515625"
"16","233.9609375","233.9609375","233.9609375"
"17","248.19140625","248.19140625","248.19140625"
"18","259.4765625","259.4765625","259.4765625"
"19","213.37890625","213.37890625","213.37890625"
"20","202.13671875","202.13671875","202.13671875"
"21","237.015625","237.015625","237.015625"
"22","248.9609375","248.9609375","248.9609375"
"24","206.60546875","206.60546875","206.60546875"
"25","206.52734375","206.52734375","206.52734375"
"26","258.54296875","258.54296875","258.54296875"
"27","196.8671875","196.8671875","196.8671875"
"28","201.66796875","201.66796875","201.66796875"
"29","171.76953125","171.76953125","171.76953125"
"30","195.70703125","195.70703125","195.70703125"
"31","205.6484375","205.6484375","205.6484375"
"32","216.66015625","216.66015625","216.66015625"
"33","219.6328125","219.6328125","219.6328125"
"35","197.7890625","197.7890625","197.7890625"
"36","189.8203125","189.8203125","189.8203125"
"37","169.46484375","169.46484375","169.46484375"
"38","186.015625","186.015625","186.015625"
"39","218.62890625","218.62890625","218.62890625"
"40","170.24609375","170.24609375","170.24609375"
"41","190.82421875","190.82421875","190.82421875"
"42","206.08203125","206.08203125","206.08203125"
"43","178.28515625","178.28515625","178.28515625"
"44","210.54296875","210.54296875","210.54296875"
"46","228.37890625","228.37890625","228.37890625"
"47","220.15234375","220.15234375","220.15234375"
"48","237.9765625","237.9765625","237.9765625"
"49","175.65234375","175.65234375","175.65234375"
"50","190.6015625","190.6015625","190.6015625"
"51","166.640625","166.640625","166.640625"
"52","194.59375","194.59375","194.59375"
"53","142.421875","142.421875","142.421875"
"54","230.91796875","230.91796875","230.91796875"
"55","200.53515625","200.53515625","200.53515625"
"57","178.5625","178.5625","178.5625"
"58","211.59375","211.59375","211.59375"
"59","224.65625","224.65625","224.65625"
"60","225.5546875","225.5546875","225.5546875"
"61","205.30859375","205.30859375","205.30859375"
"62","180.90625","180.90625","180.90625"
"63","172.09765625","172.09765625","172.09765625"
"64","177.26953125","177.26953125","177.26953125"
"65","202.30859375","202.30859375","202.30859375"
"66","180.11328125","180.11328125","180.11328125"
"68","206.375","206.375","206.375"
"69","194.921875","194.921875","194.921875"
"70","193.6796875","193.6796875","193.6796875"
"71","187.84765625","187.84765625","187.84765625"
"72","183.7421875","183.7421875","183.7421875"
"73","205.9140625","205.9140625","205.9140625"
"74","186.08984375","186.08984375","186.08984375"
"75","211.75","211.75","211.75"
"76","181.8359375","181.8359375","181.8359375"
"77","201.69921875","201.69921875","201.69921875"
"79","170.55078125","170.55078125","170.55078125"
"80","199.421875","199.421875","199.421875"
"81","196.609375","196.609375","196.609375"
"82","221.90234375","221.90234375","221.90234375"
"83","169.953125","169.953125","169.953125"
"84","205.71875","205.71875","205.71875"
"85","186.68359375","186.68359375","186.68359375"
"86","157.71484375","157.71484375","157.71484375"
"87","218.70703125","218.70703125","218.70703125"
"88","215.578125","215.578125","215.578125"
"90","209.6015625","209.6015625","209.6015625"
"91","248.671875","248.671875","248.671875"
"92","182.28515625","182.28515625","182.28515625"
"93","239.49609375","239.49609375","239.49609375"
"94","177.46875","177.46875","177.46875"
"95","196.75","196.75","196.75"
"96","200.56640625","200.56640625","200.56640625"
"97","174.61328125","174.61328125","174.61328125"
"98","182.91015625","182.91015625","182.91015625"
"99","194.52734375","194.52734375","194.52734375"
"101","206.9140625","206.9140625","206.9140625"
"102","204.22265625","204.22265625","204.22265625"
"103","208.7734375","208.7734375","208.7734375"
"104","229.01953125","229.01953125","229.01953125"
"105","228.67578125","228.67578125","228.67578125"
"106","198.5625","198.5625","198.5625"
"107","215.55859375","215.55859375","215.55859375"
"108","227.2734375","227.2734375","227.2734375"
"109","245.53125","245.53125","245.53125"
"110","189.2890625","189.2890625","189.2890625"
"112","219.203125","219.203125","219.203125"
"113","204.12890625","204.12890625","204.12890625"
"114","220.16796875","220.16796875","220.16796875"
"115","170.8828125","170.8828125","170.8828125"
"116","189.9765625","189.9765625","189.9765625"
"117","195.296875","195.296875","195.296875"
"118","187.29296875","187.29296875","187.29296875"
"119","226.21875","226.21875","226.21875"
"120","174.17578125","174.17578125","174.17578125"
"121","189.3125","189.3125","189.3125"
"123","186.26171875","186.26171875","186.26171875"
"124","181.234375","181.234375","181.234375"
"125","202.34765625","202.34765625","202.34765625"
"126","229.84765625","229.84765625","229.84765625"
"127","212.76953125","212.76953125","212.76953125"
"128","182.265625","182.265625","182.265625"
"129","222.76953125","222.76953125","222.76953125"
"130","182.8359375","182.8359375","182.8359375"
"131","217.375","217.375","217.375"
"132","223.8828125","223.8828125","223.8828125"
