"Step","qwen1.5b-rl-sft-grpo-epoch_2 - train_format_reward_mean","qwen1.5b-rl-sft-grpo-epoch_2 - train_format_reward_mean__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - train_format_reward_mean__MAX"
"0","0.18359375","0.18359375","0.18359375"
"2","0.1953125","0.1953125","0.1953125"
"3","0.20703125","0.20703125","0.20703125"
"4","0.1875","0.1875","0.1875"
"5","0.19921875","0.19921875","0.19921875"
"6","0.17578125","0.17578125","0.17578125"
"7","0.1875","0.1875","0.1875"
"8","0.1796875","0.1796875","0.1796875"
"9","0.19921875","0.19921875","0.19921875"
"10","0.18359375","0.18359375","0.18359375"
"11","0.22265625","0.22265625","0.22265625"
"13","0.4765625","0.4765625","0.4765625"
"14","0.640625","0.640625","0.640625"
"15","0.60546875","0.60546875","0.60546875"
"16","0.5703125","0.5703125","0.5703125"
"17","0.6171875","0.6171875","0.6171875"
"18","0.5390625","0.5390625","0.5390625"
"19","0.6015625","0.6015625","0.6015625"
"20","0.56640625","0.56640625","0.56640625"
"21","0.51171875","0.51171875","0.51171875"
"22","0.51953125","0.51953125","0.51953125"
"24","0.73046875","0.73046875","0.73046875"
"25","0.734375","0.734375","0.734375"
"26","0.640625","0.640625","0.640625"
"27","0.72265625","0.72265625","0.72265625"
"28","0.7265625","0.7265625","0.7265625"
"29","0.7421875","0.7421875","0.7421875"
"30","0.73046875","0.73046875","0.73046875"
"31","0.69921875","0.69921875","0.69921875"
"32","0.77734375","0.77734375","0.77734375"
"33","0.69140625","0.69140625","0.69140625"
"35","0.76171875","0.76171875","0.76171875"
"36","0.78515625","0.78515625","0.78515625"
"37","0.78125","0.78125","0.78125"
"38","0.83203125","0.83203125","0.83203125"
"39","0.78125","0.78125","0.78125"
"40","0.828125","0.828125","0.828125"
"41","0.83984375","0.83984375","0.83984375"
"42","0.734375","0.734375","0.734375"
"43","0.74609375","0.74609375","0.74609375"
"44","0.73046875","0.73046875","0.73046875"
"46","0.7890625","0.7890625","0.7890625"
"47","0.8203125","0.8203125","0.8203125"
"48","0.76953125","0.76953125","0.76953125"
"49","0.8515625","0.8515625","0.8515625"
"50","0.80859375","0.80859375","0.80859375"
"51","0.84375","0.84375","0.84375"
"52","0.83984375","0.83984375","0.83984375"
"53","0.90234375","0.90234375","0.90234375"
"54","0.7578125","0.7578125","0.7578125"
"55","0.8203125","0.8203125","0.8203125"
"57","0.83984375","0.83984375","0.83984375"
"58","0.8125","0.8125","0.8125"
"59","0.8203125","0.8203125","0.8203125"
"60","0.80078125","0.80078125","0.80078125"
"61","0.85546875","0.85546875","0.85546875"
"62","0.87109375","0.87109375","0.87109375"
"63","0.875","0.875","0.875"
"64","0.87890625","0.87890625","0.87890625"
"65","0.8125","0.8125","0.8125"
"66","0.86328125","0.86328125","0.86328125"
"68","0.8828125","0.8828125","0.8828125"
"69","0.859375","0.859375","0.859375"
"70","0.8671875","0.8671875","0.8671875"
"71","0.87109375","0.87109375","0.87109375"
"72","0.83203125","0.83203125","0.83203125"
"73","0.87109375","0.87109375","0.87109375"
"74","0.87109375","0.87109375","0.87109375"
"75","0.83984375","0.83984375","0.83984375"
"76","0.875","0.875","0.875"
"77","0.8125","0.8125","0.8125"
"79","0.921875","0.921875","0.921875"
"80","0.84375","0.84375","0.84375"
"81","0.859375","0.859375","0.859375"
"82","0.87109375","0.87109375","0.87109375"
"83","0.91015625","0.91015625","0.91015625"
"84","0.8671875","0.8671875","0.8671875"
"85","0.88671875","0.88671875","0.88671875"
"86","0.90625","0.90625","0.90625"
"87","0.8515625","0.8515625","0.8515625"
"88","0.8203125","0.8203125","0.8203125"
"90","0.88671875","0.88671875","0.88671875"
"91","0.85546875","0.85546875","0.85546875"
"92","0.92578125","0.92578125","0.92578125"
"93","0.84765625","0.84765625","0.84765625"
"94","0.90234375","0.90234375","0.90234375"
"95","0.9140625","0.9140625","0.9140625"
"96","0.8984375","0.8984375","0.8984375"
"97","0.8828125","0.8828125","0.8828125"
"98","0.91015625","0.91015625","0.91015625"
"99","0.8984375","0.8984375","0.8984375"
"101","0.859375","0.859375","0.859375"
"102","0.859375","0.859375","0.859375"
"103","0.90234375","0.90234375","0.90234375"
"104","0.8515625","0.8515625","0.8515625"
"105","0.8671875","0.8671875","0.8671875"
"106","0.86328125","0.86328125","0.86328125"
"107","0.859375","0.859375","0.859375"
"108","0.84375","0.84375","0.84375"
"109","0.83984375","0.83984375","0.83984375"
"110","0.890625","0.890625","0.890625"
"112","0.87109375","0.87109375","0.87109375"
"113","0.8984375","0.8984375","0.8984375"
"114","0.86328125","0.86328125","0.86328125"
"115","0.91796875","0.91796875","0.91796875"
"116","0.8984375","0.8984375","0.8984375"
"117","0.90625","0.90625","0.90625"
"118","0.9375","0.9375","0.9375"
"119","0.890625","0.890625","0.890625"
"120","0.90234375","0.90234375","0.90234375"
"121","0.88671875","0.88671875","0.88671875"
"123","0.8984375","0.8984375","0.8984375"
"124","0.921875","0.921875","0.921875"
"125","0.8671875","0.8671875","0.8671875"
"126","0.81640625","0.81640625","0.81640625"
"127","0.87890625","0.87890625","0.87890625"
"128","0.9296875","0.9296875","0.9296875"
"129","0.8828125","0.8828125","0.8828125"
"130","0.921875","0.921875","0.921875"
"131","0.87109375","0.87109375","0.87109375"
"132","0.90234375","0.90234375","0.90234375"
"134","0.9375","0.9375","0.9375"
"135","0.88671875","0.88671875","0.88671875"
"136","0.93359375","0.93359375","0.93359375"
"137","0.828125","0.828125","0.828125"
"138","0.87890625","0.87890625","0.87890625"
"139","0.875","0.875","0.875"
"140","0.87109375","0.87109375","0.87109375"
"141","0.9140625","0.9140625","0.9140625"
"142","0.90625","0.90625","0.90625"
"143","0.93359375","0.93359375","0.93359375"
