"train_step","qwen1.5b-rl-sft-grpo-epoch_2 - train/loss","qwen1.5b-rl-sft-grpo-epoch_2 - train/loss__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - train/loss__MAX","qwen1.5b-rl-sft-grpo-epoch_2 - _step","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MAX"
"0","0.000791892409324646","0.000791892409324646","0.000791892409324646","0","0","0"
"1","0.0007942467927932739","0.0007942467927932739","0.0007942467927932739","2","2","2"
"2","0.00011469423770904541","0.00011469423770904541","0.00011469423770904541","3","3","3"
"3","0.0017651170492172241","0.0017651170492172241","0.0017651170492172241","4","4","4"
"4","0.0009419023990631104","0.0009419023990631104","0.0009419023990631104","5","5","5"
"5","0.0009528324007987976","0.0009528324007987976","0.0009528324007987976","6","6","6"
"6","0.000975489616394043","0.000975489616394043","0.000975489616394043","7","7","7"
"7","0.00047907233238220215","0.00047907233238220215","0.00047907233238220215","8","8","8"
"8","0.000032961368560791016","0.000032961368560791016","0.000032961368560791016","9","9","9"
"9","0.0013884827494621277","0.0013884827494621277","0.0013884827494621277","10","10","10"
"10","0.0009365677833557129","0.0009365677833557129","0.0009365677833557129","11","11","11"
"11","0.0015748962759971619","0.0015748962759971619","0.0015748962759971619","13","13","13"
"12","0.003161229193210602","0.003161229193210602","0.003161229193210602","14","14","14"
"13","0.0016799387522041798","0.0016799387522041798","0.0016799387522041798","15","15","15"
"14","0.001277148723602295","0.001277148723602295","0.001277148723602295","16","16","16"
"15","0.0012282729148864746","0.0012282729148864746","0.0012282729148864746","17","17","17"
"16","0.001514926552772522","0.001514926552772522","0.001514926552772522","18","18","18"
"17","0.0016264915466308594","0.0016264915466308594","0.0016264915466308594","19","19","19"
"18","0.0012563448399305344","0.0012563448399305344","0.0012563448399305344","20","20","20"
"19","0.001873008906841278","0.001873008906841278","0.001873008906841278","21","21","21"
"20","0.0007606148719787598","0.0007606148719787598","0.0007606148719787598","22","22","22"
"21","0.00023242831230163574","0.00023242831230163574","0.00023242831230163574","24","24","24"
"22","0.0010587871074676514","0.0010587871074676514","0.0010587871074676514","25","25","25"
"23","0.001655392348766327","0.001655392348766327","0.001655392348766327","26","26","26"
"24","0.0009518861770629883","0.0009518861770629883","0.0009518861770629883","27","27","27"
"25","0.0010673068463802338","0.0010673068463802338","0.0010673068463802338","28","28","28"
"26","0.002025619149208069","0.002025619149208069","0.002025619149208069","29","29","29"
"27","0.0016575753688812256","0.0016575753688812256","0.0016575753688812256","30","30","30"
"28","0.001987934112548828","0.001987934112548828","0.001987934112548828","31","31","31"
"29","0.003347843885421753","0.003347843885421753","0.003347843885421753","32","32","32"
"30","0.0008429978042840958","0.0008429978042840958","0.0008429978042840958","33","33","33"
"31","0.0025592222809791565","0.0025592222809791565","0.0025592222809791565","35","35","35"
"32","-0.0007377266883850098","-0.0007377266883850098","-0.0007377266883850098","36","36","36"
"33","0.001885056495666504","0.001885056495666504","0.001885056495666504","37","37","37"
"34","-0.000782698392868042","-0.000782698392868042","-0.000782698392868042","38","38","38"
"35","0.002066969871520996","0.002066969871520996","0.002066969871520996","39","39","39"
"36","-0.00017344101797789335","-0.00017344101797789335","-0.00017344101797789335","40","40","40"
"37","0.0012754648923873901","0.0012754648923873901","0.0012754648923873901","41","41","41"
"38","0.0006866753101348877","0.0006866753101348877","0.0006866753101348877","42","42","42"
"39","0.0008942913264036179","0.0008942913264036179","0.0008942913264036179","43","43","43"
"40","0.0029783248901367188","0.0029783248901367188","0.0029783248901367188","44","44","44"
"41","0.0007342752069234848","0.0007342752069234848","0.0007342752069234848","46","46","46"
"42","0.00011511147022247314","0.00011511147022247314","0.00011511147022247314","47","47","47"
"43","0.0012526512145996094","0.0012526512145996094","0.0012526512145996094","48","48","48"
"44","-0.0006372397765517235","-0.0006372397765517235","-0.0006372397765517235","49","49","49"
"45","0.00036362186074256897","0.00036362186074256897","0.00036362186074256897","50","50","50"
"46","0.0009366534650325775","0.0009366534650325775","0.0009366534650325775","51","51","51"
"47","-0.00015905499458312988","-0.00015905499458312988","-0.00015905499458312988","52","52","52"
"48","-0.0011979937553405762","-0.0011979937553405762","-0.0011979937553405762","53","53","53"
"49","0.0006116852164268494","0.0006116852164268494","0.0006116852164268494","54","54","54"
"50","0.001245751976966858","0.001245751976966858","0.001245751976966858","55","55","55"
"51","0.0007452070713043213","0.0007452070713043213","0.0007452070713043213","57","57","57"
"52","0.0020935991778969765","0.0020935991778969765","0.0020935991778969765","58","58","58"
"53","0.0008740425109863281","0.0008740425109863281","0.0008740425109863281","59","59","59"
"54","0.001741449348628521","0.001741449348628521","0.001741449348628521","60","60","60"
"55","0.0002974867820739746","0.0002974867820739746","0.0002974867820739746","61","61","61"
"56","0.00182400643825531","0.00182400643825531","0.00182400643825531","62","62","62"
"57","0.00201493501663208","0.00201493501663208","0.00201493501663208","63","63","63"
"58","-0.00023898854851722717","-0.00023898854851722717","-0.00023898854851722717","64","64","64"
"59","-0.00022459030151367188","-0.00022459030151367188","-0.00022459030151367188","65","65","65"
"60","0.0017309784889221191","0.0017309784889221191","0.0017309784889221191","66","66","66"
"61","-0.001246035099029541","-0.001246035099029541","-0.001246035099029541","68","68","68"
"62","0.002242743968963623","0.002242743968963623","0.002242743968963623","69","69","69"
"63","0.0006874203681945801","0.0006874203681945801","0.0006874203681945801","70","70","70"
"64","-0.0013949349522590637","-0.0013949349522590637","-0.0013949349522590637","71","71","71"
"65","0.00005304068326950073","0.00005304068326950073","0.00005304068326950073","72","72","72"
"66","0.0002078413963317871","0.0002078413963317871","0.0002078413963317871","73","73","73"
"67","0.00003622099757194519","0.00003622099757194519","0.00003622099757194519","74","74","74"
"68","0.000011896947398781776","0.000011896947398781776","0.000011896947398781776","75","75","75"
"69","-0.0007242113351821899","-0.0007242113351821899","-0.0007242113351821899","76","76","76"
"70","0.002084285020828247","0.002084285020828247","0.002084285020828247","77","77","77"
"71","-0.000479675829410553","-0.000479675829410553","-0.000479675829410553","79","79","79"
"72","0.0008050873875617981","0.0008050873875617981","0.0008050873875617981","80","80","80"
"73","0.0007536262273788452","0.0007536262273788452","0.0007536262273788452","81","81","81"
"74","0.0029072165489196777","0.0029072165489196777","0.0029072165489196777","82","82","82"
"75","-0.0004344657063484192","-0.0004344657063484192","-0.0004344657063484192","83","83","83"
"76","0.0008703768253326416","0.0008703768253326416","0.0008703768253326416","84","84","84"
"77","0.0007242187857627869","0.0007242187857627869","0.0007242187857627869","85","85","85"
"78","0.0005701553309336305","0.0005701553309336305","0.0005701553309336305","86","86","86"
"79","0.002077315002679825","0.002077315002679825","0.002077315002679825","87","87","87"
"80","0.0003810832276940346","0.0003810832276940346","0.0003810832276940346","88","88","88"
"81","-0.00025103986263275146","-0.00025103986263275146","-0.00025103986263275146","90","90","90"
"82","0.0014433637261390686","0.0014433637261390686","0.0014433637261390686","91","91","91"
"83","-0.00033626705408096313","-0.00033626705408096313","-0.00033626705408096313","92","92","92"
"84","0.0011374354362487793","0.0011374354362487793","0.0011374354362487793","93","93","93"
"85","-0.0006789267063140869","-0.0006789267063140869","-0.0006789267063140869","94","94","94"
"86","0.0062255859375","0.0062255859375","0.0062255859375","95","95","95"
"87","-0.00041028857231140137","-0.00041028857231140137","-0.00041028857231140137","96","96","96"
"88","0.002128034830093384","0.002128034830093384","0.002128034830093384","97","97","97"
"89","0.0010479521006345749","0.0010479521006345749","0.0010479521006345749","98","98","98"
"90","0.000828918069601059","0.000828918069601059","0.000828918069601059","99","99","99"
"91","-0.0001978948712348938","-0.0001978948712348938","-0.0001978948712348938","101","101","101"
"92","-0.0003530457615852356","-0.0003530457615852356","-0.0003530457615852356","102","102","102"
"93","0.00263901986181736","0.00263901986181736","0.00263901986181736","103","103","103"
"94","0.0008126851171255112","0.0008126851171255112","0.0008126851171255112","104","104","104"
"95","0.00029394403100013733","0.00029394403100013733","0.00029394403100013733","105","105","105"
"96","0.00047707557678222656","0.00047707557678222656","0.00047707557678222656","106","106","106"
"97","0.002201758325099945","0.002201758325099945","0.002201758325099945","107","107","107"
"98","-0.0006650090217590332","-0.0006650090217590332","-0.0006650090217590332","108","108","108"
"99","-0.00047588348388671875","-0.00047588348388671875","-0.00047588348388671875","109","109","109"
"100","0.0013137012720108032","0.0013137012720108032","0.0013137012720108032","110","110","110"
"101","-0.0011778771877288818","-0.0011778771877288818","-0.0011778771877288818","112","112","112"
"102","0.0012757927179336548","0.0012757927179336548","0.0012757927179336548","113","113","113"
"103","0.0006611570715904236","0.0006611570715904236","0.0006611570715904236","114","114","114"
"104","-0.0003923475742340088","-0.0003923475742340088","-0.0003923475742340088","115","115","115"
"105","-0.0003136098384857178","-0.0003136098384857178","-0.0003136098384857178","116","116","116"
"106","0.0023583173751831055","0.0023583173751831055","0.0023583173751831055","117","117","117"
"107","0.00017245113849639893","0.00017245113849639893","0.00017245113849639893","118","118","118"
