"Step","qwen1.5b-rl-sft-grpo-epoch_2 - train_rewards_mean","qwen1.5b-rl-sft-grpo-epoch_2 - train_rewards_mean__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - train_rewards_mean__MAX"
"0","0.03125","0.03125","0.03125"
"2","0.02734375","0.02734375","0.02734375"
"3","0.0390625","0.0390625","0.0390625"
"4","0.0390625","0.0390625","0.0390625"
"5","0.0625","0.0625","0.0625"
"6","0.03125","0.03125","0.03125"
"7","0.03125","0.03125","0.03125"
"8","0.015625","0.015625","0.015625"
"9","0.02734375","0.02734375","0.02734375"
"10","0.0546875","0.0546875","0.0546875"
"11","0.0390625","0.0390625","0.0390625"
"13","0.09375","0.09375","0.09375"
"14","0.19921875","0.19921875","0.19921875"
"15","0.13671875","0.13671875","0.13671875"
"16","0.140625","0.140625","0.140625"
"17","0.13671875","0.13671875","0.13671875"
"18","0.1640625","0.1640625","0.1640625"
"19","0.1796875","0.1796875","0.1796875"
"20","0.1796875","0.1796875","0.1796875"
"21","0.1171875","0.1171875","0.1171875"
"22","0.12890625","0.12890625","0.12890625"
"24","0.26953125","0.26953125","0.26953125"
"25","0.21875","0.21875","0.21875"
"26","0.17578125","0.17578125","0.17578125"
"27","0.1953125","0.1953125","0.1953125"
"28","0.2421875","0.2421875","0.2421875"
"29","0.21875","0.21875","0.21875"
"30","0.234375","0.234375","0.234375"
"31","0.18359375","0.18359375","0.18359375"
"32","0.3046875","0.3046875","0.3046875"
"33","0.1328125","0.1328125","0.1328125"
"35","0.234375","0.234375","0.234375"
"36","0.2890625","0.2890625","0.2890625"
"37","0.22265625","0.22265625","0.22265625"
"38","0.26171875","0.26171875","0.26171875"
"39","0.2109375","0.2109375","0.2109375"
"40","0.3046875","0.3046875","0.3046875"
"41","0.28125","0.28125","0.28125"
"42","0.28125","0.28125","0.28125"
"43","0.1953125","0.1953125","0.1953125"
"44","0.19140625","0.19140625","0.19140625"
"46","0.26953125","0.26953125","0.26953125"
"47","0.26171875","0.26171875","0.26171875"
"48","0.1953125","0.1953125","0.1953125"
"49","0.27734375","0.27734375","0.27734375"
"50","0.2734375","0.2734375","0.2734375"
"51","0.296875","0.296875","0.296875"
"52","0.35546875","0.35546875","0.35546875"
"53","0.41015625","0.41015625","0.41015625"
"54","0.2578125","0.2578125","0.2578125"
"55","0.21484375","0.21484375","0.21484375"
"57","0.3046875","0.3046875","0.3046875"
"58","0.34765625","0.34765625","0.34765625"
"59","0.27734375","0.27734375","0.27734375"
"60","0.33984375","0.33984375","0.33984375"
"61","0.3359375","0.3359375","0.3359375"
"62","0.2734375","0.2734375","0.2734375"
"63","0.42578125","0.42578125","0.42578125"
"64","0.38671875","0.38671875","0.38671875"
"65","0.3046875","0.3046875","0.3046875"
"66","0.37109375","0.37109375","0.37109375"
"68","0.30078125","0.30078125","0.30078125"
"69","0.33984375","0.33984375","0.33984375"
"70","0.27734375","0.27734375","0.27734375"
"71","0.375","0.375","0.375"
"72","0.32421875","0.32421875","0.32421875"
"73","0.33984375","0.33984375","0.33984375"
"74","0.3046875","0.3046875","0.3046875"
"75","0.3359375","0.3359375","0.3359375"
"76","0.4296875","0.4296875","0.4296875"
"77","0.2265625","0.2265625","0.2265625"
"79","0.40625","0.40625","0.40625"
"80","0.37109375","0.37109375","0.37109375"
"81","0.390625","0.390625","0.390625"
"82","0.390625","0.390625","0.390625"
"83","0.4765625","0.4765625","0.4765625"
"84","0.3984375","0.3984375","0.3984375"
"85","0.54296875","0.54296875","0.54296875"
"86","0.390625","0.390625","0.390625"
"87","0.37109375","0.37109375","0.37109375"
"88","0.3359375","0.3359375","0.3359375"
"90","0.37109375","0.37109375","0.37109375"
"91","0.30078125","0.30078125","0.30078125"
"92","0.375","0.375","0.375"
"93","0.37109375","0.37109375","0.37109375"
"94","0.34765625","0.34765625","0.34765625"
"95","0.39453125","0.39453125","0.39453125"
"96","0.34375","0.34375","0.34375"
"97","0.4375","0.4375","0.4375"
"98","0.46875","0.46875","0.46875"
"99","0.33984375","0.33984375","0.33984375"
"101","0.3984375","0.3984375","0.3984375"
"102","0.35546875","0.35546875","0.35546875"
"103","0.37890625","0.37890625","0.37890625"
"104","0.3828125","0.3828125","0.3828125"
"105","0.34375","0.34375","0.34375"
"106","0.4140625","0.4140625","0.4140625"
"107","0.3671875","0.3671875","0.3671875"
"108","0.35546875","0.35546875","0.35546875"
"109","0.34765625","0.34765625","0.34765625"
"110","0.37109375","0.37109375","0.37109375"
"112","0.20703125","0.20703125","0.20703125"
"113","0.29296875","0.29296875","0.29296875"
"114","0.32421875","0.32421875","0.32421875"
"115","0.2890625","0.2890625","0.2890625"
"116","0.359375","0.359375","0.359375"
"117","0.3671875","0.3671875","0.3671875"
"118","0.48046875","0.48046875","0.48046875"
"119","0.34765625","0.34765625","0.34765625"
"120","0.375","0.375","0.375"
"121","0.4609375","0.4609375","0.4609375"
"123","0.46875","0.46875","0.46875"
"124","0.40625","0.40625","0.40625"
"125","0.3203125","0.3203125","0.3203125"
"126","0.29296875","0.29296875","0.29296875"
"127","0.26953125","0.26953125","0.26953125"
"128","0.38671875","0.38671875","0.38671875"
"129","0.41015625","0.41015625","0.41015625"
"130","0.46875","0.46875","0.46875"
"131","0.28515625","0.28515625","0.28515625"
"132","0.484375","0.484375","0.484375"
"134","0.5078125","0.5078125","0.5078125"
"135","0.39453125","0.39453125","0.39453125"
"136","0.45703125","0.45703125","0.45703125"
"137","0.28515625","0.28515625","0.28515625"
"138","0.3984375","0.3984375","0.3984375"
"139","0.41015625","0.41015625","0.41015625"
"140","0.32421875","0.32421875","0.32421875"
"141","0.40625","0.40625","0.40625"
"142","0.43359375","0.43359375","0.43359375"
"143","0.43359375","0.43359375","0.43359375"
