"train_step","qwen1.5b-rl-sft-grpo-epoch_2 - train/total_tokens","qwen1.5b-rl-sft-grpo-epoch_2 - train/total_tokens__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - train/total_tokens__MAX","qwen1.5b-rl-sft-grpo-epoch_2 - _step","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MAX"
"0","190042","190042","190042","0","0","0"
"1","176376","176376","176376","2","2","2"
"2","201446","201446","201446","3","3","3"
"3","189904","189904","189904","4","4","4"
"4","195966","195966","195966","5","5","5"
"5","170276","170276","170276","6","6","6"
"6","162788","162788","162788","7","7","7"
"7","200316","200316","200316","8","8","8"
"8","158362","158362","158362","9","9","9"
"9","168420","168420","168420","10","10","10"
"10","178072","178072","178072","11","11","11"
"11","138008","138008","138008","13","13","13"
"12","110496","110496","110496","14","14","14"
"13","104082","104082","104082","15","15","15"
"14","119788","119788","119788","16","16","16"
"15","127074","127074","127074","17","17","17"
"16","132852","132852","132852","18","18","18"
"17","109250","109250","109250","19","19","19"
"18","103494","103494","103494","20","20","20"
"19","121352","121352","121352","21","21","21"
"20","127468","127468","127468","22","22","22"
"21","105782","105782","105782","24","24","24"
"22","105742","105742","105742","25","25","25"
"23","132374","132374","132374","26","26","26"
"24","100796","100796","100796","27","27","27"
"25","103254","103254","103254","28","28","28"
"26","87946","87946","87946","29","29","29"
"27","100202","100202","100202","30","30","30"
"28","105292","105292","105292","31","31","31"
"29","110930","110930","110930","32","32","32"
"30","112452","112452","112452","33","33","33"
"31","101268","101268","101268","35","35","35"
"32","97188","97188","97188","36","36","36"
"33","86766","86766","86766","37","37","37"
"34","95240","95240","95240","38","38","38"
"35","111938","111938","111938","39","39","39"
"36","87166","87166","87166","40","40","40"
"37","97702","97702","97702","41","41","41"
"38","105514","105514","105514","42","42","42"
"39","91282","91282","91282","43","43","43"
"40","107798","107798","107798","44","44","44"
"41","116930","116930","116930","46","46","46"
"42","112718","112718","112718","47","47","47"
"43","121844","121844","121844","48","48","48"
"44","89934","89934","89934","49","49","49"
"45","97588","97588","97588","50","50","50"
"46","85320","85320","85320","51","51","51"
"47","99632","99632","99632","52","52","52"
"48","72920","72920","72920","53","53","53"
"49","118230","118230","118230","54","54","54"
"50","102674","102674","102674","55","55","55"
"51","91424","91424","91424","57","57","57"
"52","108336","108336","108336","58","58","58"
"53","115024","115024","115024","59","59","59"
"54","115484","115484","115484","60","60","60"
"55","105118","105118","105118","61","61","61"
"56","92624","92624","92624","62","62","62"
"57","88114","88114","88114","63","63","63"
"58","90762","90762","90762","64","64","64"
"59","103582","103582","103582","65","65","65"
"60","92218","92218","92218","66","66","66"
"61","105664","105664","105664","68","68","68"
"62","99800","99800","99800","69","69","69"
"63","99164","99164","99164","70","70","70"
"64","96178","96178","96178","71","71","71"
"65","94076","94076","94076","72","72","72"
"66","105428","105428","105428","73","73","73"
"67","95278","95278","95278","74","74","74"
"68","108416","108416","108416","75","75","75"
"69","93100","93100","93100","76","76","76"
"70","103270","103270","103270","77","77","77"
"71","87322","87322","87322","79","79","79"
"72","102104","102104","102104","80","80","80"
"73","100664","100664","100664","81","81","81"
"74","113614","113614","113614","82","82","82"
"75","87016","87016","87016","83","83","83"
"76","105328","105328","105328","84","84","84"
"77","95582","95582","95582","85","85","85"
"78","80750","80750","80750","86","86","86"
"79","111978","111978","111978","87","87","87"
"80","110376","110376","110376","88","88","88"
"81","107316","107316","107316","90","90","90"
"82","127320","127320","127320","91","91","91"
"83","93330","93330","93330","92","92","92"
"84","122622","122622","122622","93","93","93"
"85","90864","90864","90864","94","94","94"
"86","100736","100736","100736","95","95","95"
"87","102690","102690","102690","96","96","96"
"88","89402","89402","89402","97","97","97"
"89","93650","93650","93650","98","98","98"
"90","99598","99598","99598","99","99","99"
"91","105940","105940","105940","101","101","101"
"92","104562","104562","104562","102","102","102"
"93","106892","106892","106892","103","103","103"
"94","117258","117258","117258","104","104","104"
"95","117082","117082","117082","105","105","105"
"96","101664","101664","101664","106","106","106"
"97","110366","110366","110366","107","107","107"
"98","116364","116364","116364","108","108","108"
"99","125712","125712","125712","109","109","109"
"100","96916","96916","96916","110","110","110"
"101","112232","112232","112232","112","112","112"
"102","104514","104514","104514","113","113","113"
"103","112726","112726","112726","114","114","114"
"104","87492","87492","87492","115","115","115"
"105","97268","97268","97268","116","116","116"
"106","99992","99992","99992","117","117","117"
"107","95894","95894","95894","118","118","118"
"108","115824","115824","115824","119","119","119"
"109","89178","89178","89178","120","120","120"
"110","96928","96928","96928","121","121","121"
"111","95366","95366","95366","123","123","123"
"112","92792","92792","92792","124","124","124"
"113","103602","103602","103602","125","125","125"
"114","117682","117682","117682","126","126","126"
"115","108938","108938","108938","127","127","127"
"116","93320","93320","93320","128","128","128"
"117","114058","114058","114058","129","129","129"
"118","93612","93612","93612","130","130","130"
"119","111296","111296","111296","131","131","131"
"120","114628","114628","114628","132","132","132"
"121","89998","89998","89998","134","134","134"
"122","94800","94800","94800","135","135","135"
"123","91332","91332","91332","136","136","136"
"124","127484","127484","127484","137","137","137"
"125","111058","111058","111058","138","138","138"
"126","115682","115682","115682","139","139","139"
"127","119216","119216","119216","140","140","140"
"128","112950","112950","112950","141","141","141"
"129","104600","104600","104600","142","142","142"
"130","103584","103584","103584","143","143","143"
